Date;Price
01/03/2010;341.94
01/10/2010;337.99
01/17/2010;329.48
01/24/2010;327.90
01/31/2010;315.04
02/07/2010;315.74
02/14/2010;325.60
02/21/2010;317.74
02/28/2010;338.68
03/07/2010;339.57
03/14/2010;338.65
03/21/2010;343.81
03/28/2010;351.44
04/04/2010;355.89
04/11/2010;349.75
04/18/2010;353.38
04/25/2010;345.91
05/02/2010;312.35
05/09/2010;327.24
05/16/2010;313.41
05/23/2010;320.64
05/30/2010;321.22
06/06/2010;325.56
06/13/2010;336.06
06/20/2010;325.99
06/27/2010;308.20
07/04/2010;324.42
07/11/2010;323.99
07/18/2010;337.14
07/25/2010;330.64
08/01/2010;331.19
08/08/2010;323.92
08/15/2010;318.02
08/22/2010;317.04
08/29/2010;329.35
09/05/2010;334.96
09/12/2010;334.54
09/19/2010;337.85
09/26/2010;333.78
10/03/2010;336.53
10/10/2010;341.45
10/17/2010;341.07
10/24/2010;337.23
10/31/2010;346.90
11/07/2010;343.20
11/14/2010;344.58
11/21/2010;336.26
11/28/2010;342.19
12/05/2010;350.21
12/12/2010;352.05
12/19/2010;355.92
12/26/2010;354.57
