Date;Price
01/02/2022;41672.0
01/09/2022;43097.0
01/16/2022;35075.2
01/23/2022;38170.8
01/30/2022;41412.1
02/06/2022;42205.2
02/13/2022;40090.3
02/20/2022;39115.5
02/27/2022;39395.8
03/06/2022;38814.3
03/13/2022;42233.0
03/20/2022;44548.0
03/27/2022;45811.0
04/03/2022;42767.0
04/10/2022;40382.0
04/17/2022;39418.0
04/24/2022;37650.0
05/01/2022;35468.0
05/08/2022;30080.4
05/15/2022;29434.6
05/22/2022;29027.1
05/29/2022;29864.3
06/05/2022;28403.4
06/12/2022;18986.5
06/19/2022;21489.9
06/26/2022;19243.2
07/03/2022;21587.5
07/10/2022;21209.9
07/17/2022;22460.4
07/24/2022;23634.2
07/31/2022;22944.2
08/07/2022;24442.5
08/14/2022;21138.9
08/21/2022;20033.9
08/28/2022;19831.4
09/04/2022;21650.4
09/11/2022;20113.5
09/18/2022;18925.2
09/25/2022;19311.9
10/02/2022;19415.0
10/09/2022;19068.7
10/16/2022;19204.8
10/23/2022;20809.8
10/30/2022;21301.6
11/06/2022;16795.2
11/13/2022;16699.2
11/20/2022;16456.5
11/27/2022;16884.5
12/04/2022;17127.2
12/11/2022;16777.1
12/18/2022;16837.2
12/25/2022;16537.4
