Date;Price
01/03/2010;4045.14
01/10/2010;3954.38
01/17/2010;3820.78
01/24/2010;3739.46
01/31/2010;3563.76
02/07/2010;3599.07
02/14/2010;3769.54
02/21/2010;3708.80
02/28/2010;3910.42
03/07/2010;3927.40
03/14/2010;3925.44
03/21/2010;3988.93
03/28/2010;4034.23
04/04/2010;4050.54
04/11/2010;3986.63
04/18/2010;3951.30
04/25/2010;3816.99
05/02/2010;3392.59
05/09/2010;3560.36
05/16/2010;3430.74
05/23/2010;3515.06
05/30/2010;3455.61
06/06/2010;3555.52
06/13/2010;3687.21
06/20/2010;3519.73
06/27/2010;3348.37
07/04/2010;3554.48
07/11/2010;3500.16
07/18/2010;3607.05
07/25/2010;3643.14
08/01/2010;3716.05
08/08/2010;3610.91
08/15/2010;3526.12
08/22/2010;3507.44
08/29/2010;3672.20
09/05/2010;3725.82
09/12/2010;3722.02
09/19/2010;3782.48
09/26/2010;3692.09
10/03/2010;3763.18
10/10/2010;3827.37
10/17/2010;3868.54
10/24/2010;3833.50
10/31/2010;3916.73
11/07/2010;3831.12
11/14/2010;3860.16
11/21/2010;3728.65
11/28/2010;3750.55
12/05/2010;3857.35
12/12/2010;3867.35
12/19/2010;3900.39
12/26/2010;3804.78
