Date;Price;;
01/03/2010;11577.51;;
01/10/2010;11573.49;;
01/17/2010;11491.91;;
01/24/2010;11410.32;;
01/31/2010;11382.09;;
02/07/2010;11092.00;;
02/14/2010;11203.55;;
02/21/2010;11192.58;;
02/28/2010;11444.08;;
03/07/2010;11118.49;;
03/14/2010;11132.56;;
03/21/2010;11062.78;;
03/28/2010;11006.48;;
04/04/2010;10829.68;;
04/11/2010;10860.26;;
04/18/2010;10607.85;;
04/25/2010;10462.77;;
05/02/2010;10447.93;;
05/09/2010;10150.65;;
05/16/2010;10213.62;;
05/23/2010;10303.15;;
05/30/2010;10653.56;;
06/06/2010;10465.94;;
06/13/2010;10424.62;;
06/20/2010;10097.90;;
06/27/2010;10198.03;;
07/04/2010;9686.48;;
07/11/2010;10143.81;;
07/18/2010;10450.64;;
07/25/2010;10211.07;;
08/01/2010;9931.97;;
08/08/2010;10136.63;;
08/15/2010;10193.39;;
08/22/2010;10620.16;;
08/29/2010;10380.43;;
09/05/2010;11008.61;;
09/12/2010;11204.28;;
09/19/2010;11018.66;;
09/26/2010;10997.35;;
10/03/2010;10927.07;;
10/10/2010;10850.36;;
10/17/2010;10741.98;;
10/24/2010;10624.69;;
10/31/2010;10566.20;;
11/07/2010;10325.26;;
11/14/2010;10402.35;;
11/21/2010;10099.14;;
11/28/2010;10012.23;;
12/05/2010;10067.33;;
12/12/2010;10172.98;;
12/19/2010;10609.65;;
12/26/2010;10618.19;;
