Date;Price
31/12/2009;3007.34
07/01/2010;2989.71
14/01/2010;2863.25
21/01/2010;2737.33
28/01/2010;2707.45
04/02/2010;2680.25
11/02/2010;2778.30
18/02/2010;2684.42
25/02/2010;2816.10
04/03/2010;2895.74
11/03/2010;2913.74
18/03/2010;2948.09
25/03/2010;2978.50
01/04/2010;2942.31
08/04/2010;3012.65
15/04/2010;2897.59
22/04/2010;2828.12
29/04/2010;2611.41
06/05/2010;2764.05
13/05/2010;2569.58
20/05/2010;2619.36
27/05/2010;2634.16
03/06/2010;2608.74
10/06/2010;2728.12
17/06/2010;2645.32
24/06/2010;2518.65
01/07/2010;2666.42
08/07/2010;2702.81
15/07/2010;2714.21
22/07/2010;2752.93
29/07/2010;2819.34
05/08/2010;2720.85
12/08/2010;2675.02
19/08/2010;2606.89
26/08/2010;2715.19
02/09/2010;2782.43
09/09/2010;2784.61
16/09/2010;2738.61
23/09/2010;2747.90
30/09/2010;2786.88
07/10/2010;2836.11
14/10/2010;2882.29
21/10/2010;2845.53
28/10/2010;2884.21
04/11/2010;2831.22
11/11/2010;2855.23
18/11/2010;2765.05
25/11/2010;2781.39
02/12/2010;2840.71
09/12/2010;2845.78
16/12/2010;2864.52
23/12/2010;2807.04
