Date;Price
01/02/2022;3080.02
01/09/2022;3327.74
01/16/2022;2412.52
01/23/2022;2600.02
01/30/2022;3013.81
02/06/2022;2917.10
02/13/2022;2763.81
02/20/2022;2776.96
02/27/2022;2665.42
03/06/2022;2569.80
03/13/2022;2949.92
03/20/2022;3146.01
03/27/2022;3442.34
04/03/2022;3259.35
04/10/2022;3058.96
04/17/2022;2931.90
04/24/2022;2727.18
05/01/2022;2636.03
05/08/2022;2056.30
05/15/2022;1975.12
05/22/2022;1792.68
05/29/2022;1804.37
06/05/2022;1531.42
06/12/2022;995.61
06/19/2022;1241.76
06/26/2022;1066.60
07/03/2022;1216.94
07/10/2022;1356.08
07/17/2022;1549.61
07/24/2022;1695.97
07/31/2022;1690.27
08/07/2022;1983.50
08/14/2022;1575.60
08/21/2022;1490.83
08/28/2022;1557.55
09/04/2022;1774.38
09/11/2022;1468.79
09/18/2022;1317.00
09/25/2022;1311.80
10/02/2022;1315.05
10/09/2022;1274.57
10/16/2022;1313.64
10/23/2022;1619.69
10/30/2022;1627.07
11/06/2022;1256.29
11/13/2022;1217.65
11/20/2022;1205.15
11/27/2022;1240.46
12/04/2022;1266.62
12/11/2022;1187.18
12/18/2022;1220.46
12/25/2022;1195.67
