Date;Price
01/08/2010;5899.94
01/17/2010;6008.92
01/24/2010;5745.32
01/31/2010;5668.70
02/05/2010;5732.83
02/14/2010;5875.35
02/21/2010;5675.16
02/28/2010;5741.37
03/01/2010;5592.90
03/14/2010;5598.48
03/21/2010;5428.15
03/28/2010;5201.56
04/04/2010;5195.28
04/07/2010;5258.02
04/18/2010;5312.62
04/25/2010;4838.09
05/09/2010;5046.47
05/12/2010;5250.84
05/16/2010;5126.00
05/23/2010;5188.43
05/30/2010;5062.93
06/06/2010;5553.29
06/13/2010;5723.65
06/20/2010;5744.89
06/27/2010;5703.02
07/02/2010;5650.12
07/03/2010;5599.76
07/11/2010;5354.52
07/18/2010;5358.17
07/25/2010;5060.92
08/08/2010;5188.52
08/15/2010;5302.99
08/22/2010;5871.75
08/29/2010;5508.45
09/05/2010;5158.85
09/19/2010;5743.96
09/26/2010;5703.37
10/01/2010;5455.37
10/10/2010;5262.85
10/17/2010;5275.44
10/24/2010;5796.87
10/31/2010;5625.65
11/04/2010;5142.45
11/07/2010;5163.68
11/14/2010;5812.95
11/21/2010;5501.64
11/28/2010;5132.94
12/09/2010;5770.98
12/12/2010;5657.61
12/19/2010;5534.24
12/26/2010;5123.02
12/31/2010;5332.39
