Date;Price
31/12/2009;11986.10
07/01/2010;11902.30
14/01/2010;11414.10
21/01/2010;10829.30
28/01/2010;10220.70
04/02/2010;9916.60
11/02/2010;10149.20
18/02/2010;10047.20
25/02/2010;10118.40
04/03/2010;10718.60
11/03/2010;10921.10
18/03/2010;10694.20
25/03/2010;10774.00
01/04/2010;10968.20
08/04/2010;11139.50
15/04/2010;10753.40
22/04/2010;10077.90
29/04/2010;9267.50
06/05/2010;8925.90
13/05/2010;9037.50
20/05/2010;8812.10
27/05/2010;9019.40
03/06/2010;8563.60
10/06/2010;9265.70
17/06/2010;9549.30
24/06/2010;8977.70
01/07/2010;9158.70
08/07/2010;9967.50
15/07/2010;9804.90
22/07/2010;10221.40
29/07/2010;10430.30
05/08/2010;10259.70
12/08/2010;10143.70
19/08/2010;9773.80
26/08/2010;9938.10
02/09/2010;10410.30
09/09/2010;10622.70
16/09/2010;10401.80
23/09/2010;10378.80
30/09/2010;10310.20
07/10/2010;10529.70
14/10/2010;10751.20
21/10/2010;10657.30
28/10/2010;10528.40
04/11/2010;10062.90
11/11/2010;9891.00
18/11/2010;9556.10
25/11/2010;9203.40
02/12/2010;9826.30
09/12/2010;9919.70
16/12/2010;9850.10
23/12/2010;9854.00
