Date;Price
01/03/2010;1695.26
01/10/2010;1701.80
01/17/2010;1684.35
01/24/2010;1602.43
01/31/2010;1567.12
02/07/2010;1593.66
02/14/2010;1593.90
02/21/2010;1594.58
02/28/2010;1634.57
03/07/2010;1662.74
03/14/2010;1686.11
03/21/2010;1697.72
03/28/2010;1723.49
04/04/2010;1724.47
04/11/2010;1734.49
04/18/2010;1737.03
04/25/2010;1741.56
05/02/2010;1647.50
05/09/2010;1695.63
05/16/2010;1600.18
05/23/2010;1622.78
05/30/2010;1664.13
06/06/2010;1675.34
06/13/2010;1711.95
06/20/2010;1729.84
06/27/2010;1671.82
07/04/2010;1723.01
07/11/2010;1738.45
07/18/2010;1758.06
07/25/2010;1759.33
08/01/2010;1783.83
08/08/2010;1746.24
08/15/2010;1775.54
08/22/2010;1729.56
08/29/2010;1780.02
09/05/2010;1802.58
09/12/2010;1827.35
09/19/2010;1846.60
09/26/2010;1876.73
10/03/2010;1897.07
10/10/2010;1902.29
10/17/2010;1897.31
10/24/2010;1882.95
10/31/2010;1938.96
11/07/2010;1913.12
11/14/2010;1940.96
11/21/2010;1901.80
11/28/2010;1957.26
12/05/2010;1986.14
12/12/2010;2026.30
12/19/2010;2029.60
12/26/2010;2051.00
