Date;Price
01/03/2010;3310.23
01/10/2010;3257.95
01/17/2010;3190.43
01/24/2010;3164.65
01/31/2010;3104.99
02/07/2010;3080.47
02/14/2010;3107.09
02/21/2010;3156.10
02/28/2010;3214.64
03/07/2010;3225.14
03/14/2010;3230.40
03/21/2010;3240.48
03/28/2010;3276.23
04/04/2010;3310.25
04/11/2010;3311.31
04/18/2010;3286.13
04/25/2010;3158.85
05/02/2010;3191.01
05/09/2010;3050.08
05/16/2010;3047.75
05/23/2010;3030.14
05/30/2010;3041.26
06/06/2010;3047.50
06/13/2010;3034.11
06/20/2010;2938.11
06/27/2010;3005.25
07/04/2010;2985.76
07/11/2010;2994.90
07/18/2010;3034.62
07/25/2010;3044.63
08/01/2010;3015.13
08/08/2010;3000.40
08/15/2010;3107.43
08/22/2010;3161.00
08/29/2010;3212.26
09/05/2010;3211.16
09/12/2010;3212.94
09/19/2010;3232.66
09/26/2010;3255.85
10/03/2010;3289.75
10/10/2010;3304.89
10/17/2010;3319.16
10/24/2010;3310.58
10/31/2010;3268.15
11/07/2010;3264.24
11/14/2010;3283.30
11/21/2010;3272.92
11/28/2010;3307.28
12/05/2010;3329.21
12/12/2010;3309.03
12/19/2010;3319.15
12/26/2010;3324.2
