Date;Price
01/03/2010;10228.92
01/10/2010;10279.19
01/17/2010;10303.83
01/24/2010;10211.95
01/31/2010;10178.32
02/07/2010;10039.56
02/14/2010;10022.39
02/21/2010;9724.81
02/28/2010;9625.99
03/07/2010;9202.45
03/14/2010;9426.71
03/21/2010;9500.25
03/28/2010;9588.88
04/04/2010;9404.23
04/11/2010;9471.67
04/18/2010;9626.09
04/25/2010;9239.17
05/02/2010;9114.13
05/09/2010;8991.06
05/16/2010;9179.38
05/23/2010;9253.46
05/30/2010;9642.12
06/06/2010;9537.30
06/13/2010;9430.96
06/20/2010;9408.36
06/27/2010;9585.32
07/04/2010;9203.71
07/11/2010;9737.48
07/18/2010;9995.02
07/25/2010;9705.25
08/01/2010;9901.19
08/08/2010;9762.98
08/15/2010;9784.54
08/22/2010;10462.51
08/29/2010;10364.59
09/05/2010;11057.40
09/12/2010;10914.46
09/19/2010;11102.18
09/26/2010;11204.34
10/03/2010;11286.09
10/10/2010;10996.37
10/17/2010;10824.72
10/24/2010;10751.26
10/31/2010;10368.96
11/07/2010;10126.03
11/14/2010;10123.58
11/21/2010;10092.19
11/28/2010;10057.09
12/05/2010;10198.04
12/12/2010;10590.55
12/19/2010;10982.10
12/26/2010;10798.32
