Date;Price
01/03/2010;702.81
01/10/2010;682.24
01/17/2010;662.34
01/24/2010;648.53
01/31/2010;656.50
02/07/2010;671.29
02/14/2010;686.65
02/21/2010;680.76
02/28/2010;702.72
03/07/2010;705.17
03/14/2010;701.89
03/21/2010;701.81
03/28/2010;712.95
04/04/2010;713.85
04/11/2010;708.00
04/18/2010;717.52
04/25/2010;716.05
05/02/2010;688.28
05/09/2010;706.72
05/16/2010;679.78
05/23/2010;685.23
05/30/2010;680.11
06/06/2010;685.04
06/13/2010;700.50
06/20/2010;686.41
06/27/2010;655.92
07/04/2010;679.09
07/11/2010;678.84
07/18/2010;683.67
07/25/2010;685.03
08/01/2010;689.08
08/08/2010;670.98
08/15/2010;682.71
08/22/2010;692.33
08/29/2010;708.03
09/05/2010;703.86
09/12/2010;707.53
09/19/2010;706.85
09/26/2010;714.00
10/03/2010;725.41
10/10/2010;728.08
10/17/2010;725.90
10/24/2010;728.09
10/31/2010;740.34
11/07/2010;731.55
11/14/2010;743.22
11/21/2010;738.13
11/28/2010;752.21
12/05/2010;756.68
12/12/2010;754.22
12/19/2010;764.81
12/26/2010;768.65
