Date;Price
01/03/2010;3196.00
01/10/2010;3224.15
01/17/2010;3128.59
01/24/2010;2989.29
01/31/2010;2939.40
02/07/2010;3018.13
02/21/2010;3051.94
02/28/2010;3031.07
03/07/2010;3013.41
03/14/2010;3067.75
03/21/2010;3059.72
03/28/2010;3157.96
04/04/2010;3145.35
04/11/2010;3130.30
04/18/2010;2983.54
04/25/2010;2870.61
05/02/2010;2688.38
05/09/2010;2696.63
05/16/2010;2583.52
05/23/2010;2655.77
05/30/2010;2553.59
06/06/2010;2569.94
06/13/2010;2513.22
06/20/2010;2552.82
06/27/2010;2382.90
07/04/2010;2470.92
07/11/2010;2424.27
07/18/2010;2572.03
07/25/2010;2637.50
08/01/2010;2658.39
08/08/2010;2606.70
08/15/2010;2642.31
08/22/2010;2610.74
08/29/2010;2655.39
09/05/2010;2663.21
09/12/2010;2598.69
09/19/2010;2591.55
09/26/2010;2655.66
10/03/2010;2738.74
10/10/2010;2971.16
10/17/2010;2975.04
10/24/2010;2978.83
10/31/2010;3129.50
11/07/2010;2985.43
11/14/2010;2888.57
11/21/2010;2871.70
11/28/2010;2842.43
12/05/2010;2841.04
12/12/2010;2893.74
12/19/2010;2835.16
12/26/2010;2808.08
12/31/2010;2809.04
